paraphrases,sentences,ptypes,axes,axes2,scores,scores2
"I want you to make a line chart. The x-axis should clearly represent the date and the y-axis should represent the price. However, I personally feel that this is the best way to visualize the data.",Create a line chart with date on the x-axis and price on the y-axis.,commands,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",5,2
"You know, that graph thingy with the dates and costs.","Line chart, date, price",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",1,3
What is the temporal fluctuation of the cost depicted on the linear graph?,How does the price change over time on the line chart?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",5,3
Make a dot graph with 'Movement' on the side-to-side line and 'People Count' on the up-and-down line using a scale that goes up by multiples. I think it's a good way to represent the data.,Create a point chart with 'Mobility' on the x-axis and 'Population' on the y-axis using a logarithmic scale.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,2
The graph represents 'Mobility' in relation to the logarithm of 'Population'.,Point chart of 'Mobility' vs logarithmic 'Population',queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",4,2
Could you please illustrate the dispersion of the 'Population' in relation to 'Mobility' on a logarithmic scale? I believe it would provide a clearer understanding.,What is the distribution of 'Population' with respect to 'Mobility' in a logarithmic scale?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",5,3
"Please construct a chart in the shape of a rectangle. The x-axis should be labeled as 'Department' and the y-axis should be labeled as 'County'. The count of records should determine the color-coding of the chart. Additionally, construct a bar chart. The x-axis should be labeled as 'Department' and the y-axis should represent the total 'Building Area'.","Create a rectangular chart with 'Department' on the x-axis and 'County' on the y-axis, color-coded by the count of records. Create a bar chart with 'Department' on the x-axis and the sum of 'Building Area' on the y-axis.",commands,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",4,4
"The chart is rectangular in shape, with the 'Department' on the horizontal axis and the 'County' on the vertical axis. The colors represent the count of records. There's also a bar chart with the 'Department' on the horizontal axis and the total 'Building Area' on the vertical axis.","Rectangular chart, 'Department' x-axis, 'County' y-axis, color by count of records Bar chart, 'Department' x-axis, sum of 'Building Area' y-axis",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",4,2
Can you tell me how the records are spread out among the departments and counties? And what's the total area of the buildings for each department?,What is the distribution of records across departments and counties? What is the total building area for each department?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",2,4
"Please construct a scatter plot, placing '1 - HDI' on the horizontal axis and 'ODA (millions US$)' on the vertical axis. Following that, create a line chart with '1 - HDI' on the horizontal axis and 'y2' on the vertical axis.",Create a scatter plot with '1 - HDI' on the x-axis and 'ODA (millions US$)' on the y-axis. Create a line chart with '1 - HDI' on the x-axis and 'y2' on the y-axis.,commands,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",4,2
"The scatter plot utilizes '1 - HDI' on the x-axis and 'ODA (millions US$)' on the y-axis. Similarly, the line chart employs '1 - HDI' on the x-axis and 'y2' on the y-axis.","Scatter plot, '1 - HDI' x-axis, 'ODA (millions US$)' y-axis Line chart, '1 - HDI' x-axis, 'y2' y-axis",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",3,5
"Can you tell me how '1 - HDI' and 'ODA (millions US$)' are related in the scatter plot? Also, how does 'y2' trend in relation to '1 - HDI' in the line chart?",What is the relationship between '1 - HDI' and 'ODA (millions US$)' in the scatter plot? What is the trend of 'y2' with respect to '1 - HDI' in the line chart?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",3,3
"I think you should make a point chart, where 'Alpha' is on the x-axis, 'Beta' is on the y-axis, and 'Log-likelihood' determines the size and color of the points.","Create a point chart with 'Alpha' on the x-axis, 'Beta' on the y-axis, and 'Log-likelihood' for the size and color of the points.",commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",2,4
