paraphrases,sentences,ptypes,axes,scores
Could you please inform me of the most recent stock price for Google?,What is the stock price of Google at the latest date?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
What is the value of the data point at the extreme right on the graph?,How high is the line at the far right of the chart?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Do you think Google's stock price has been skyrocketing over time?,Has the stock price of Google been increasing over time?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
Does the chart show a line that increases from the left side to the right side?,Is the line on the chart moving upwards from left to right?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
"So, looking at how Google's stock's been doing, reckon it's a good one to put money in?","Based on the trend of Google's stock price, would it be a good investment?",open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
What is the rate of population movement or transience in the area with the highest income bracket?,What is the mobility rate of the highest income area?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
What's the move-around rate for the darkest spot on the right side of the chart?,What is the mobility rate of the area represented by the point with the darkest color on the right side of the chart?,lookup-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
What's the most someone can make and how much can they move around with that?,What is the maximum income and what is the corresponding mobility rate?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
What's the cash flow and how easy is it to move up in the world in the place that's marked by the darkest spot on the right side of the graph?,What is the income and mobility rate of the area represented by the point with the darkest color on the right side of the chart?,compositional-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
What do you think about the way an area's income influences its mobility rate and population? It seems to me that there's a strong connection.,How does the income of an area affect its mobility rate and population?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
