country,region,country_code,year,lifeExp,gdpPercap,pop
Afghanistan,Asia,AFG,1952,33.0,1070,7930000
Albania,Europe,ALB,1952,55.2,2010,1320000
Algeria,Africa,DZA,1952,47.6,4100,9220000
Andorra,Europe,AND,1952,,8160,7250
Angola,Africa,AGO,1952,37.5,3340,4770000
Antigua and Barbuda,Americas,ATG,1952,59.0,3640,50000
Argentina,Americas,ARG,1952,61.5,7800,17900000
Armenia,Europe,ARM,1952,59.2,1920,1420000
Australia,Asia,AUS,1952,69.4,12100,8620000
Austria,Europe,AUT,1952,66.8,7410,6930000
Azerbaijan,Europe,AZE,1952,55.0,3760,3060000
Bahamas,Americas,BHS,1952,59.0,11100,81400
Bahrain,Asia,BHR,1952,43.2,17400,120000
Bangladesh,Asia,BGD,1952,40.7,1050,39500000
Barbados,Americas,BRB,1952,59.9,3350,220000
Belarus,Europe,BLR,1952,64.6,2950,7710000
Belgium,Europe,BEL,1952,68.0,10700,8730000
Belize,Americas,BLZ,1952,56.3,1890,73400
Benin,Africa,BEN,1952,36.6,1240,2260000
Bhutan,Asia,BTN,1952,37.0,868,185000
Bolivia,Americas,BOL,1952,43.5,3390,3190000
Bosnia and Herzegovina,Europe,BIH,1952,53.3,1150,2760000
Botswana,Africa,BWA,1952,48.7,864,437000
Brazil,Americas,BRA,1952,52.6,3190,57300000
Brunei,Asia,BRN,1952,56.4,58500,53900
Bulgaria,Europe,BGR,1952,59.5,3160,7370000
Burkina Faso,Africa,BFA,1952,34.1,550,4370000
Burundi,Africa,BDI,1952,39.5,542,2400000
Cambodia,Asia,KHM,1952,42.5,1160,4660000
Cameroon,Africa,CMR,1952,42.2,1540,4460000
Canada,Americas,CAN,1952,68.8,12900,14500000
Cape Verde,Africa,CPV,1952,52.0,798,192000
Central African Republic,Africa,CAF,1952,37.3,1270,1350000
Chad,Africa,TCD,1952,41.5,1280,2590000
Chile,Americas,CHL,1952,55.7,5450,6470000
China,Asia,CHN,1952,42.6,632,582000000
Colombia,Americas,COL,1952,53.6,3200,13100000
Comoros,Africa,COM,1952,42.9,848,167000
"Congo, Dem. Rep.",Africa,COD,1952,43.6,1850,12700000
"Congo, Rep.",Africa,COG,1952,39.8,1900,862000
