metabolite,sample_id,flux,description
glyc3p_m,Cancer7,0.0297717982,Glycerol 3-phosphate
cytd_m,Cancer7,0.0888291023,Cytidine
dcyt_m,Cancer7,0.0887547241,Deoxycytidine
cgly_m,Cancer7,0.1,L-cysteinylglycine
amp_m,Cancer7,0.09999999050000001,AMP
nmn_m,Cancer7,0.1000000003,NMN
26dap_M_m,Cancer7,0.0999999847,"meso-2,6-Diaminoheptanedioate"
orn_m,Cancer7,0.1000000411,Ornithine
csn_m,Cancer7,0.0793159611,cytosine
acnam_m,Cancer7,0.0028827153,N-acetylneuraminate
gam_m,Cancer7,0.0027036561,D-Glucosamine
acgam_m,Cancer7,0.0027555878,N-acetyl-D-glucosamine
acmana_m,Cancer7,0.0027707598,N-acetyl-D-mannosamine
dgsn_m,Cancer7,0.0287639815,Deoxyguanosine
gsn_m,Cancer7,0.0328295589,Guanosine
metsox_S_L_m,Cancer7,0.0187872099,L-Methionine Sulfoxide
adn_m,Cancer7,0.0328831958,Adenosine
dad_2_m,Cancer7,0.0326020512,2-deoxyadenosine
ptrc_m,Cancer7,0.0001763737,Putrescine
uri_m,Cancer7,1e-06,Uridine
pi_m,Cancer7,0.0150806045,hydrogenphosphate
asn_L_m,Cancer7,0.022500000000000003,L-asparagine
lys_L_m,Cancer7,0.015,L-lysinium(1+)
gln_L_m,Cancer7,0.018000000000000002,L-glutamine
arg_L_m,Cancer7,0.0150001331,L-argininium(1+)
his_L_m,Cancer7,0.015,L-histidine
ade_m,Cancer7,0.0152320226,Adenine
gua_m,Cancer7,0.0142169105,Guanine
tyr_L_m,Cancer7,0.002472077,L-tyrosine
ura_m,Cancer7,1e-06,uracil
ile_L_m,Cancer7,0.0021830267,L-isoleucine
leu_L_m,Cancer7,0.0020600993000000002,L-leucine
trp_L_m,Cancer7,0.0081819756,L-tryptophan
val_L_m,Cancer7,0.0021747451,L-valine
glu_L_m,Cancer7,0.00223626,L-glutamate(1-)
met_L_m,Cancer7,0.0022565678,L-methionine
pro_L_m,Cancer7,0.0022394787000000003,L-proline
fol_m,Cancer7,0.0005299171,Folate
fe3_m,Cancer7,0.0018330514000000002,Fe3+
fe2_m,Cancer7,0.0012254242,Fe2+
k_m,Cancer7,0.001529037,potassium
cl_m,Cancer7,0.0015290622000000002,Chloride
zn2_m,Cancer7,0.0015290380000000001,Zinc
ca2_m,Cancer7,0.0015293938,calcium(2+)
cu2_m,Cancer7,0.0015294097,Cu2+
mn2_m,Cancer7,0.0015293925,Mn2+
cobalt2_m,Cancer7,0.0015290050000000002,Co2+
mg2_m,Cancer7,0.00152954,magnesium
pnto_R_m,Cancer7,0.0003029751,(R)-Pantothenate
12dgr180_m,Cancer7,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
pydam_m,Cancer7,7.4252e-06,Pyridoxamine
spmd_m,Cancer7,0.0001775542,Spermidine
thm_m,Cancer7,1e-06,Thiamin
pheme_m,Cancer7,0.0001774172,Protoheme
sheme_m,Cancer7,0.00017689220000000001,Siroheme
ocdcea_m,Cancer7,1e-06,octadecenoate (n-C18:1)
q8_m,Cancer7,1e-06,Ubiquinone-8
2dmmq8_m,Cancer7,1e-06,2-Demethylmenaquinone 8
4abz_m,Cancer7,1e-06,4-Aminobenzoate
indole_m,Cancer7,6.144490000000001e-05,Indole
gthox_m,Cancer7,1e-06,Oxidized glutathione
thymd_m,Cancer7,1e-06,Thymidine
amylose300_m,Cancer7,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
galmannan_m,Cancer7,1e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,Cancer7,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
starch1200_m,Cancer7,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
adocbl_m,Cancer7,1e-06,Adenosylcobalamin
xyl_D_m,Cancer7,1e-06,aldehydo-D-xylose
mqn7_m,Cancer7,1e-06,Menaquinone 7
pydx_m,Cancer7,0.0002438215,Pyridoxal
pydxn_m,Cancer7,0.0002442323,Pyridoxine
ncam_m,Cancer7,0.002390693,Nicotinamide
no2_m,Cancer7,0.0023312267000000003,Nitrite
gly_m,Cancer7,0.0023512196,Glycine
phe_L_m,Cancer7,0.0023988860000000002,L-phenylalanine
thr_L_m,Cancer7,0.0023123174,L-threonine
ser_L_m,Cancer7,0.0024768436,L-serine
ala_D_m,Cancer7,0.0024794634,D-alanine
ala_L_m,Cancer7,0.0024799845,L-alanine
asp_L_m,Cancer7,0.0022665079,L-aspartate(1-)
cys_L_m,Cancer7,0.0024329433,L-cysteine
glyc3p_m,Cancer2,0.0486271489,Glycerol 3-phosphate
cytd_m,Cancer2,0.1000000021,Cytidine
