Word,Frequency
able,2
abscissa,23
acceleration,55
according,5
account,4
accurately,5
across,2
add,1
adding,1
advantageous,1
advisable,5
advise,1
advised,4
advocate,1
affected,1
aggregate,14
aggregated,1
agree,2
along,2
also,2
amount,2
analyzing,1
annual,1
annum,2
appear,1
appears,6
apply,1
approach,1
appropriate,1
area,1
arithmetic,3
around,1
arrange,1
arranged,16
arranging,2
ascertain,1
assemble,1
associated,2
automobile,3
average,154
avg,3
aware,1
ax,2
axis,18
bar,313
barometric,1
based,25
basic,1
begin,1
believe,8
beneficial,12
benefit,1
best,1
better,1
bifurcated,1
big,1
bit,4
bottom,19
broken,2
budget,76
calculated,2
calculating,1
california,13
captivated,1
car,34
cartesian,3
cash,2
categorical,2
categorized,13
category,24
cent,1
central,5
certain,3
change,16
changed,1
chart,533
check,1
chromatic,3
chromaticity,1
circle,2
clarify,1
classification,3
classified,4
classifying,2
clear,4
clearly,23
coding,2
cohort,1
color,99
colorado,13
colored,17
column,61
come,3
common,1
compare,3
comparison,4
compelled,1
component,4
comprehend,1
compulsory,2
compute,1
computed,2
confirm,1
conjecture,1
connection,1
consider,9
considering,10
construct,41
constructed,2
constructing,2
consumer,1
consumption,1
contains,1
content,27
contingent,2
convey,1
convinced,1
cool,6
coordinate,2
correct,3
correlate,1
correlation,12
corresponding,1
cost,4
could,62
counseled,1
count,117
counted,1
counting,3
country,22
course,1
create,129
created,8
creating,15
creation,4
creative,17
crucial,4
cubic,1
cumulative,4
curious,3
customer,22
cylinder,62
data,44
date,37
definitively,1
delineates,7
delineating,3
delivery,3
demographic,1
demonstrate,1
demonstrates,2
demonstrating,2
denoted,1
denoting,2
dependent,5
depict,1
depicting,3
depicts,5
descending,24
describe,2
description,1
determined,1
diagram,27
difference,1
different,56
differentiate,7
differentiated,11
differentiation,5
dimension,1
direct,1
directive,1
directly,2
discussing,3
dispatch,1
displacement,23
display,16
displayed,1
displaying,1
distance,3
distribution,6
divided,2
dot,13
dough,2
draw,16
duration,2
eager,1
earnings,27
easier,1
east,4
eastern,1
economy,4
effective,1
efficiency,7
efficient,1
eh,1
elucidate,1
elucidates,1
engine,9
engineer,1
enough,2
entity,1
entry,1
enumerate,1
enumeration,8
envision,2
essential,4
estimate,1
estimated,2
every,1
evidence,1
evolves,1
exact,5
examine,1
examined,1
examining,3
exhibit,1
expenditure,2
explain,2
explanation,1
explicates,1
explicit,2
explicitly,7
fabricate,14
fabricated,2
fact,1
factor,2
factual,4
factually,1
fascinating,1
fast,3
feature,2
featuring,1
feel,11
field,6
figure,3
film,15
find,2
first,2
fluctuates,1
forecast,20
formulate,4
freight,1
frequency,16
fuel,10
functioning,1
gain,1
gallon,29
gas,3
generate,43
genre,87
geographical,4
get,3
give,1
global,9
go,7
going,10
good,10
got,7
graph,97
graphical,4
gravimetric,1
gross,83
group,3
grouped,7
guess,1
guessing,1
gut,1
happens,2
heaviness,1
heavy,2
height,3
helpful,1
hey,3
highest,2
histogram,5
horizontal,21
horsepower,53
idea,9
identify,3
illustrates,16
illustrating,3
imdb,13
impacted,1
imperative,5
inch,1
includes,2
income,6
increase,1
independent,5
indiana,13
indicate,5
indicates,2
indicating,5
industry,1
inform,3
information,2
informative,2
inquiring,1
instantiate,2
instantiated,2
instruct,1
instruction,1
interesting,3
interpretation,1
intriguing,2
item,15
kept,1
key,2
kind,3
kindly,2
know,21
labeled,5
leading,1
least,7
let,12
like,22
line,152
list,2
listed,4
logical,1
logistics,1
long,3
longer,1
look,4
looking,7
lowest,2
made,15
main,4
major,25
make,53
making,7
mandated,1
mandatory,1
manner,1
manufacture,4
manufacturing,1
many,20
margin,1
mass,1
match,1
may,1
maybe,8
mean,68
measure,1
median,1
method,20
metric,1
michigan,13
might,10
mile,20
modality,1
mode,1
money,10
month,1
movie,35
mpg,20
much,8
must,7
named,1
necessary,10
necessitate,1
need,33
needed,8
net,4
new,13
noticeable,1
number,62
numerate,1
object,3
objective,1
objectively,2
observe,1
observing,1
occurrence,5
oh,1
okay,2
one,29
opinion,9
order,65
ordered,1
ordinate,23
organized,2
origin,90
others,1
pack,1
parameter,4
pattern,2
pecuniary,1
per,37
perceive,1
perform,1
personal,1
picture,20
place,4
please,45
plot,31
plotted,7
plotting,1
point,127
position,1
posse,1
power,3
practical,1
precise,1
precisely,2
predominant,2
present,4
presented,1
presenting,2
presume,1
pretty,2
prevalent,1
primary,4
principal,1
probably,2
proceed,1
produce,3
product,36
production,50
profit,90
progression,1
project,1
propose,5
proposed,1
provenance,3
provide,15
provided,1
provides,5
prudent,2
put,3
quantification,2
quantified,1
quantifies,1
quantify,1
quantitative,5
quantity,22
quite,6
rate,2
rating,95
really,1
reckon,5
recommend,3
recommended,4
record,33
recorded,1
referring,1
region,24
related,3
relationship,5
release,12
represent,15
representation,17
represented,6
representing,10
represents,45
request,2
require,4
required,14
reveal,2
revealing,1
revenue,6
right,10
rotten,13
rough,2
run,2
running,2
sale,75
scatter,29
scattergram,4
scrutinize,1
scrutinizing,1
sector,1
see,8
seem,1
seems,6
segment,17
sell,1
sense,2
sequence,1
serving,1
set,1
shift,2
ship,1
shipment,1
shipping,23
show,59
showing,46
side,34
significant,1
signifies,5
signify,1
signifying,1
simple,14
size,1
sold,2
something,3
somewhere,1
sort,4
sorted,4
sound,1
south,4
southern,1
specific,3
specifically,1
specification,1
specify,1
speculate,1
speed,9
spent,2
start,2
state,13
statement,2
status,18
step,1
story,1
straightforward,1
strongly,1
studying,1
stuff,1
substantial,2
suggest,12
suggested,3
suggesting,1
suitable,1
sum,52
summation,13
suppose,1
sure,1
synthesize,2
system,2
ta,1
take,2
taking,4
tallied,1
tally,5
task,7
tasked,3
tell,9
temporal,4
temporally,1
terminology,1
thing,7
thingy,4
think,31
thinking,1
thought,1
time,51
title,1
titled,2
tomato,31
top,3
total,37
travel,1
trend,3
trying,2
two,1
type,76
typical,1
typically,1
typology,2
unbiased,3
understand,3
understood,1
unequivocally,1
unit,2
upon,1
us,2
usage,1
use,19
used,1
useful,10
using,1
utilizes,1
value,3
variable,19
varies,3
various,1
varying,2
vehicle,15
velocity,1
versus,7
vertical,21
view,2
visual,2
visualize,1
visualized,1
visualizes,2
vital,2
volume,2
want,2
way,2
weight,59
weightage,1
well,2
west,5
western,1
whip,4
wondering,1
work,2
working,1
world,1
worldwide,51
would,44
yeah,1
year,71
yield,1
york,19
