sentences,axes,ptypes,scores,dnames
Can you clarify the highest and lowest percentages of this opinion and identify the countries they correspond to?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_27
What's the difference between the highest and lowest percent of a certain viewpoint and which countries are they in?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_27
Please provide the highest and lowest percentages of this opinion and specify the countries they belong to.,Implicit-Explicit,compositional-nonvisual,5,kong|kong_27
"Can you elucidate the variance between the apex and nadir percentages of a specific sentiment, and the countries they correspond to?",Non-technical-Technical,compositional-nonvisual,4,kong|kong_27
"I'm really curious to know, what's the gap between the most and least popular opinion, and which countries are they associated with? It's fascinating, isn't it?",Subjective-Objective,compositional-nonvisual,1,kong|kong_27
Can you explain the range of this particular opinion and the countries associated with the highest and lowest percentages?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_27
"Can you explain the gap between the most and least common view on something, and which countries do these views come from?",Non-technical-Technical,compositional-nonvisual,2,kong|kong_27
"Which country's bar, showing what seems to be the dominant opinion, extends the furthest along the x-axis?",Subjective-Objective,lookup-visual,2,kong|kong_27
"Can you tell which bars, the ones showing a particular view, are the longest and shortest? And where are they from?",Implicit-Explicit,compositional-visual,1,kong|kong_27
"Can you provide information on the difference in length between the longest and shortest bars, which represent a certain opinion, and the countries they represent?",Subjective-Objective,compositional-visual,4,kong|kong_27
Can you tell me the response rate in country X?,Implicit-Explicit,lookup-nonvisual,4,kong|kong_30
"How many folks in country X are responding, ya know?",Colloquial-Standard,lookup-nonvisual,1,kong|kong_30
Could you provide the response percentage in country X?,Subjective-Objective,lookup-nonvisual,4,kong|kong_30
Which country has the highest proportion of affirmative responses?,Non-technical-Technical,compositional-nonvisual,3,kong|kong_30
Any idea which country's got the most responses?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_30
Do you know which country has the most responses?,Colloquial-Standard,compositional-nonvisual,3,kong|kong_30
What is the country with the highest percentage of responses?,Implicit-Explicit,compositional-nonvisual,5,kong|kong_30
Which country has the most people saying yes?,Non-technical-Technical,compositional-nonvisual,1,kong|kong_30
Can you tell me the country with the highest response percentage?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_30
In which country is the ratio of positive responses the highest?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_30
Do you know the country that tops the response percentage?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_30
Any idea about the country leading the response rate?,Implicit-Explicit,compositional-nonvisual,1,kong|kong_30
It seems to me that the bar for country X could be of considerable length.,Subjective-Objective,lookup-visual,3,kong|kong_30
What's the length of the line for country X?,Non-technical-Technical,lookup-visual,2,kong|kong_30
"I'm really curious about the length of the bar for country X, don't you think it's intriguing?",Subjective-Objective,lookup-visual,1,kong|kong_30
Can you point out the bar that is longer than the rest?,Implicit-Explicit,compositional-visual,4,kong|kong_30
Please determine the longest bar.,Subjective-Objective,compositional-visual,5,kong|kong_30
Which company that makes gadgets has had the most expensive shares ever?,Non-technical-Technical,compositional-nonvisual,1,vega-lite-example-gallery|line_color
