outs,step1s,step2s,step3s,lookup-nonvisual,step5s,lookup-visual,step7s,compositional-nonvisual,step9s,compositional-visual,open-ended,dnames
"Step 1. Decision: The decision to be made could be determining which country has the highest percentage of a certain opinion.
Step 2. Conclusion: The country with the highest percentage of a certain opinion could be the most influenced by that opinion.
Step 3. Specific Value: The specific value would be the highest percentage of a certain opinion.
Step 4. Lookup Question: What is the highest percentage of a certain opinion and which country does it belong to?
Step 5. Visual Attributes: The length of the bar and the color representing the opinion.
Step 6. Paraphrased Question: Which country's bar, representing a certain opinion, extends the furthest along the x-axis?
Step 7. Operations: The operation would be finding the maximum value.
Step 8. Compositional Question: What is the difference between the highest and lowest percentage of a certain opinion and which countries do they belong to?
Step 9. Visual Attributes: The length of the bars and the color representing the opinion.
Step 10. Paraphrased Question: What is the difference in length between the longest and shortest bars, representing a certain opinion, and which countries do they represent?
Step 11. Open-ended Question: How does the highest percentage of a certain opinion in one country compare to the percentages in other countries?",The decision to be made could be determining which country has the highest percentage of a certain opinion.,The country with the highest percentage of a certain opinion could be the most influenced by that opinion.,The specific value would be the highest percentage of a certain opinion.,What is the highest percentage of a certain opinion and which country does it belong to?,The length of the bar and the color representing the opinion.,"Which country's bar, representing a certain opinion, extends the furthest along the x-axis?",The operation would be finding the maximum value.,What is the difference between the highest and lowest percentage of a certain opinion and which countries do they belong to?,The length of the bars and the color representing the opinion.,"What is the difference in length between the longest and shortest bars, representing a certain opinion, and which countries do they represent?",How does the highest percentage of a certain opinion in one country compare to the percentages in other countries?,kong|kong_27
"Step 1. Decision: The decision could be to determine which country has the highest percentage of a certain response.
Step 2. Conclusion: The country with the highest percentage of a certain response is X.
Step 3. Specific Value: The percentage of the response in country X.
Step 4. Lookup Question: What is the percentage of the response in country X?
Step 5. Visual Attributes: The length of the bar corresponding to country X.
Step 6. Paraphrased Question: How long is the bar corresponding to country X?
Step 7. Operations: Max operation to find the country with the highest percentage.
Step 8. Compositional Question: Which country has the highest percentage of the response?
Step 9. Visual Attributes: The length of the bars.
Step 10. Paraphrased Question: Which bar is the longest?
Step 11. Open-ended Question: What could be the reason for country X having the highest percentage of the response?",The decision could be to determine which country has the highest percentage of a certain response.,The country with the highest percentage of a certain response is X.,The percentage of the response in country X.,What is the percentage of the response in country X?,The length of the bar corresponding to country X.,How long is the bar corresponding to country X?,Max operation to find the country with the highest percentage.,Which country has the highest percentage of the response?,The length of the bars.,Which bar is the longest?,What could be the reason for country X having the highest percentage of the response?,kong|kong_30
"Step 1. Decision: The decision to invest in a particular tech company's stock.
Step 2. Conclusion: The tech company with the highest stock price over time could be a good investment.
Step 3. Specific Value: The highest stock price.
Step 4. Lookup Question: What is the highest stock price of each tech company?
Step 5. Visual Attributes: The highest point on the line for each color (representing each company).
Step 6. Paraphrased Question: Which line reaches the highest point on the y-axis for each company?
Step 7. Operations: Max (to find the highest stock price).
Step 8. Compositional Question: Which tech company has the highest maximum stock price over time?
Step 9. Visual Attributes: The highest point on the line for each color (representing each company).
Step 10. Paraphrased Question: Which company's line reaches the highest point on the y-axis over time?
Step 11. Open-ended Question: Which tech company would be the best investment based on the highest stock price over time?",The decision to invest in a particular tech company's stock.,The tech company with the highest stock price over time could be a good investment.,The highest stock price.,What is the highest stock price of each tech company?,The highest point on the line for each color (representing each company).,Which line reaches the highest point on the y-axis for each company?,Max (to find the highest stock price).,Which tech company has the highest maximum stock price over time?,The highest point on the line for each color (representing each company).,Which company's line reaches the highest point on the y-axis over time?,Which tech company would be the best investment based on the highest stock price over time?,vega-lite-example-gallery|line_color
"Step 1. Decision: The decision could be to determine which country had the highest GDP in a specific year.
Step 2. Conclusion: The country with the highest GDP in a specific year is the most economically prosperous.
Step 3. Specific Value: The GDP value of a specific country in a specific year.
Step 4. Lookup Question: What is the GDP of Country X in Year Y?
Step 5. Visual Attributes: The position of the line (representing the country) on the y-axis (representing GDP) in correspondence to a specific point on the x-axis (representing the year).
Step 6. Paraphrased Question: Where does the line representing Country X intersect the y-axis in Year Y?
Step 7. Operations: Max operation to find the highest GDP.
Step 8. Compositional Question: Which country had the highest GDP in Year Y?
Step 9. Visual Attributes: The position of the lines (representing countries) on the y-axis (representing GDP) in correspondence to a specific point on the x-axis (representing the year).
Step 10. Paraphrased Question: Which line reaches the highest point on the y-axis in Year Y?
Step 11. Open-ended Question: How does the GDP of Country X compare to other countries in Year Y?",The decision could be to determine which country had the highest GDP in a specific year.,The country with the highest GDP in a specific year is the most economically prosperous.,The GDP value of a specific country in a specific year.,What is the GDP of Country X in Year Y?,The position of the line (representing the country) on the y-axis (representing GDP) in correspondence to a specific point on the x-axis (representing the year).,Where does the line representing Country X intersect the y-axis in Year Y?,Max operation to find the highest GDP.,Which country had the highest GDP in Year Y?,The position of the lines (representing countries) on the y-axis (representing GDP) in correspondence to a specific point on the x-axis (representing the year).,Which line reaches the highest point on the y-axis in Year Y?,How does the GDP of Country X compare to other countries in Year Y?,d3|d3_12
"Step 1. Decision: The decision could be to determine which state has the highest population in a certain age range.
Step 2. Conclusion: The state with the highest population in a certain age range is X.
Step 3. Specific Value: The population of a certain age range in a specific state.
Step 4. Lookup Question: What is the population of the age range X in state Y?
Step 5. Visual Attributes: The height of the bar representing the population of the age range X in state Y.
Step 6. Paraphrased Question: How high is the bar representing the population of the age range X in state Y?
Step 7. Operations: Max operation to find the highest population.
Step 8. Compositional Question: Which state has the highest population in the age range X?
Step 9. Visual Attributes: The height of the bars representing the population of the age range X in each state.
Step 10. Paraphrased Question: Which state's bar representing the population of the age range X is the highest?
Step 11. Open-ended Question: What factors could contribute to state Y having the highest population in the age range X?",The decision could be to determine which state has the highest population in a certain age range.,The state with the highest population in a certain age range is X.,The population of a certain age range in a specific state.,What is the population of the age range X in state Y?,The height of the bar representing the population of the age range X in state Y.,How high is the bar representing the population of the age range X in state Y?,Max operation to find the highest population.,Which state has the highest population in the age range X?,The height of the bars representing the population of the age range X in each state.,Which state's bar representing the population of the age range X is the highest?,What factors could contribute to state Y having the highest population in the age range X?,d3|d3_4
"Step 1. Decision: The decision could be to understand the distribution of responses across different religions.
Step 2. Conclusion: A possible conclusion could be that a certain religion has the highest percentage of a particular response.
Step 3. Specific Value: The specific value could be the percentage of a particular response for a specific religion.
Step 4. Lookup Question: What is the percentage of a particular response for a specific religion?
Step 5. Visual Attributes: The visual attributes required are the length of the bar and the color of the bar.
Step 6. Paraphrased Question: How long is the bar representing a particular response for a specific religion?
Step 7. Operations: The operations could be finding the maximum percentage among all religions for a particular response.
Step 8. Compositional Question: Which religion has the highest percentage of a particular response?
Step 9. Visual Attributes: The visual attributes required are the length of the bars and the color of the bars.
Step 10. Paraphrased Question: Which bar representing a particular response is the longest among all religions?
Step 11. Open-ended Question: How does the percentage of a particular response vary across different religions?",The decision could be to understand the distribution of responses across different religions.,A possible conclusion could be that a certain religion has the highest percentage of a particular response.,The specific value could be the percentage of a particular response for a specific religion.,What is the percentage of a particular response for a specific religion?,The visual attributes required are the length of the bar and the color of the bar.,How long is the bar representing a particular response for a specific religion?,The operations could be finding the maximum percentage among all religions for a particular response.,Which religion has the highest percentage of a particular response?,The visual attributes required are the length of the bars and the color of the bars.,Which bar representing a particular response is the longest among all religions?,How does the percentage of a particular response vary across different religions?,kong|kong_3
"Step 1. Decision: The decision that can be made by analyzing this chart is to determine the year with the highest number of cases.
Step 2. Conclusion: The year with the highest number of cases is the year with the highest bar on the chart.
Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the number of cases in a specific year.
Step 4. Lookup Question: What is the number of cases in the year 2010?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the height of the bar and the position on the x-axis.
Step 6. Paraphrased Question: How high is the bar for the year 2010 on the x-axis?
Step 7. Operations: The mathematical operation to reach the conclusion in Step 2 is the maximum operation.
Step 8. Compositional Question: What is the maximum number of cases in any year?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the height of the bars.
Step 10. Paraphrased Question: Which bar is the tallest among all the bars?
Step 11. Open-ended Question: What could be the possible reasons for the highest number of cases in the year with the highest bar?",The decision that can be made by analyzing this chart is to determine the year with the highest number of cases.,The year with the highest number of cases is the year with the highest bar on the chart.,The specific value that can be retrieved to reach this conclusion is the number of cases in a specific year.,What is the number of cases in the year 2010?,The visual attributes required to paraphrase this question are the height of the bar and the position on the x-axis.,How high is the bar for the year 2010 on the x-axis?,The mathematical operation to reach the conclusion in Step 2 is the maximum operation.,What is the maximum number of cases in any year?,The visual attributes required to paraphrase this question are the height of the bars.,Which bar is the tallest among all the bars?,What could be the possible reasons for the highest number of cases in the year with the highest bar?,d3|d3_1
"Step 1. Decision: The decision to be made could be whether the revenue of the company has been increasing or decreasing over the years.
Step 2. Conclusion: The revenue of the company has been consistently increasing/decreasing over the years.
Step 3. Specific Value: The revenue values for specific years.
Step 4. Lookup Question: What was the revenue of the company in the year 2015?
Step 5. Visual Attributes: The position on the y-axis corresponds to the revenue and the position on the x-axis corresponds to the year.
Step 6. Paraphrased Question: Where does the line intersect the y-axis for the year 2015?
Step 7. Operations: The difference between the revenue values of two specific years.
Step 8. Compositional Question: What is the difference in revenue between the years 2015 and 2020?
Step 9. Visual Attributes: The position on the y-axis corresponds to the revenue and the position on the x-axis corresponds to the year.
Step 10. Paraphrased Question: What is the vertical distance between the points on the line for the years 2015 and 2020?
Step 11. Open-ended Question: How has the revenue of the company changed over the years?",The decision to be made could be whether the revenue of the company has been increasing or decreasing over the years.,The revenue of the company has been consistently increasing/decreasing over the years.,The revenue values for specific years.,What was the revenue of the company in the year 2015?,The position on the y-axis corresponds to the revenue and the position on the x-axis corresponds to the year.,Where does the line intersect the y-axis for the year 2015?,The difference between the revenue values of two specific years.,What is the difference in revenue between the years 2015 and 2020?,The position on the y-axis corresponds to the revenue and the position on the x-axis corresponds to the year.,What is the vertical distance between the points on the line for the years 2015 and 2020?,How has the revenue of the company changed over the years?,d3|d3_10
"Step 1. Decision: The decision to increase or decrease research and development expenditure based on the trend over the years.
Step 2. Conclusion: If the trend of research and development expenditure is increasing over the years, it may be concluded that the organization is investing more in research and development.
Step 3. Specific Value: The research and development expenditure for a specific year.
Step 4. Lookup Question: What was the research and development expenditure in the year 2010?
Step 5. Visual Attributes: The height of the line at the point corresponding to the year 2010.
Step 6. Paraphrased Question: How high is the line at the point corresponding to the year 2010?
Step 7. Operations: The maximum and minimum research and development expenditure over the years.
Step 8. Compositional Question: What is the difference between the maximum and minimum research and development expenditure over the years?
Step 9. Visual Attributes: The highest and lowest point of the line on the chart.
Step 10. Paraphrased Question: What is the difference in height between the highest and lowest point of the line on the chart?
Step 11. Open-ended Question: How has the research and development expenditure changed over the years and what could be the possible reasons for this trend?",The decision to increase or decrease research and development expenditure based on the trend over the years.,"If the trend of research and development expenditure is increasing over the years, it may be concluded that the organization is investing more in research and development.",The research and development expenditure for a specific year.,What was the research and development expenditure in the year 2010?,The height of the line at the point corresponding to the year 2010.,How high is the line at the point corresponding to the year 2010?,The maximum and minimum research and development expenditure over the years.,What is the difference between the maximum and minimum research and development expenditure over the years?,The highest and lowest point of the line on the chart.,What is the difference in height between the highest and lowest point of the line on the chart?,How has the research and development expenditure changed over the years and what could be the possible reasons for this trend?,d3|d3_11
"Step 1. Decision: The decision to be made could be determining which major has the highest percentage of students.
Step 2. Conclusion: The major with the highest percentage of students is the most popular.
Step 3. Specific Value: The percentage of the major with the highest number of students.
Step 4. Lookup Question: What is the percentage of the major with the highest number of students?
Step 5. Visual Attributes: The length of the bar represents the percentage of students in each major.
Step 6. Paraphrased Question: Which bar is the longest in the chart?
Step 7. Operations: The operation to be performed is finding the maximum value.
Step 8. Compositional Question: What is the maximum percentage value among all the majors?
Step 9. Visual Attributes: The length of the bar represents the percentage of students in each major.
Step 10. Paraphrased Question: Which bar in the chart is the longest?
Step 11. Open-ended Question: Why do you think the major with the highest percentage of students is the most popular?",The decision to be made could be determining which major has the highest percentage of students.,The major with the highest percentage of students is the most popular.,The percentage of the major with the highest number of students.,What is the percentage of the major with the highest number of students?,The length of the bar represents the percentage of students in each major.,Which bar is the longest in the chart?,The operation to be performed is finding the maximum value.,What is the maximum percentage value among all the majors?,The length of the bar represents the percentage of students in each major.,Which bar in the chart is the longest?,Why do you think the major with the highest percentage of students is the most popular?,d3|d3_3
