code,freq
descriptive,611
quantitative,1475
specific,91
comparative,1425
informative,33
instructional,69
technical,156
visual representation,175
technical terminology,40
precise,23
spatial orientation,19
scientific,18
categorical,136
color,1
simplicity,33
concrete,3
visual imagery,3
temporal,733
weather-related terminology,11
causal,125
conclusive,5
geographical,305
probability (likely),1
geographic reference (seattle),1
"quantitative  (wide range, temperature difference)",1
present tense usage,6
adverb,6
conjunction,18
adjective,3
geographical references,32
ambiguity,68
lack of clarity,10
metaphorical,23
numerical data,27
mathematical,51
meteorological terminology,4
precise measurement,1
implicit assumption,30
statistical,458
numerical,55
abstract,63
sequential,58
process-oriented,2
specificity,221
accuracy,2
clarity,20
objectivity,23
contraction,7
comparative adjectives,2
cause and effect relationships,1
subjectivity,22
contrasting conjunctions,1
temporal conjunctions,1
personal pronouns,2
subjective,10
weather-related,2
cause and effect,29
conditional,46
inferential,12
logical reasoning,1
factual information,10
comparative analysis,204
factual,46
subjective perception,2
climate-related terminology,1
comparative degree,36
ordinal numbers,1
temporal context,63
comparative measures,1
qualitative terms,1
ordinal,1
objective,24
scientific terminology,19
subject-specific,15
comparative terms,19
weather-related terminology.,1
cause-effect relationship,34
natural phenomena.,1
meteorological terms,1
absence of technical jargon,6
simple sentence structure,19
conjunctions for list-making,1
spatial,66
demographic,58
health-related,37
fractional,2
formal,384
persuasive,10
analytical,195
explanatory,1
contextual,39
socio-economic,18
health and education related,1
informal,13
"colloquial terms (""hangout"")",1
"temporal references (""back then"")",1
"contrast (""pre-social media""",1
gender-specific,136
age-specific,35
population-specific,2
time-specific,13
non-technical,3
gender-specific terminology,3
statistical data,24
formal tone,7
passive voice,211
indirectness,12
inclusivity,3
formality,14
geographical context,125
demographic focus,8
statistical inference,7
statistical data presentation,3
age-specific demographic focus,1
reflective,2
indicative of socio-economic issues,1
suggestive of geographical disparities,1
hypothetical,19
emotive,5
lack of context,21
open-endedness,4
uncertainty,8
inconsistency,3
abstractness,15
context-dependency,13
connotation,2
cultural specificity,8
generalized,5
gender-related,5
improvement-oriented,1
economic,159
gender-focused,5
political,12
geographic,39
gender disparity,5
economic indicators,4
regional comparison,2
employment status,4
geographic-specific,4
ability-focused,1
geographically specific,1
employment-related,24
economic-related,1
social inequality-related,1
cultural context,48
gender focus,3
opportunity-oriented,1
western-centric,1
affirmative tone,1
employment-related terminology,8
negative connotation,58
economic implications,7
global perspective,17
indicative mood,25
complex sentence structure,7
futuristic,1
economic terminology,89
socio-economic implications,2
regional specificity,1
implicit bias,10
employment statistics,5
socio-economic factors,6
geographic focus,1
quantitative analysis,42
comparative approach,1
ratio,1
implicit comparison,18
indirect statement,2
visual,122
opinion-based,1
government-related,2
innovation-focused,1
directness,19
comparativeness,9
definitiveness,3
generalization,28
perception of government role,1
innovation drivers,1
quantitative assessment,14
political context,25
neutral tone,41
indirect assertion,1
agreement/disagreement,1
population-based,3
of agreement,1
of geography,6
implicit,7
geographical reference,44
comparative structure,50
implicit subject,4
present tense,62
indicative,16
assumptive,6
assertive,7
generalizing,12
negative,15
indirect,2
percentage-based,18
evaluative,72
geographic location,8
perception of innovation,1
political influence,1
innovation drive,1
governmental role,1
political implication,1
innovation-related,2
comparative nature,7
implicitness,3
cultural,7
innovation-related terminology,1
innovation-oriented,1
objective tone,49
factual presentation,3
interpretative,1
contradictory,2
digital,9
digital communication,7
emoji usage,1
geographic differences,1
human-computer interaction,2
digital communication context,2
cultural implication,1
african  representation,1
tanzanian  usage,1
emoji usage in,1
comparative  analysis,1
cross-cultural  characteristics,1
of statistics,5
of digital communication,1
of comparison,5
of percentages,1
multilingualism,2
visual communication (emojis),1
intent and mood conveyance,1
cross-cultural communication,1
non-verbal communication,2
gender-specific  use,1
visual  (emojis),1
brevity,26
acronym,2
replacement of emojis,1
text-based communication,1
emotional,5
geographical distinction,3
employment benefits,1
time allocation,1
interpretive,2
conceptual,2
social media usage,1
